SEMANA;PLANEJAMENTO HORIZONTAL MATEMÁTICA - EF Anos Finais;;;;;;;;;;;;PLANEJAMENTO HORIZONTAL MATEMÁTICA - EF Anos Iniciais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;A9;? Frações equivalentes;A21;? Números positivos e negativos e distância entre dois números inteiros;A29 ;? O bloco retangular;A9;? Teorema Fundamental da Aritmética;A21;? Exercícios;A29;? Exercícios;A9 ;Cap 2 - Regra de três simples;A21 ;? Método da adição ;A29;"? Exercícios sobre trapézios
e losangos ";A9;? Duplas desigualdades (I);A21;? Dois novos produtos notáveis;A29;? Lei dos cossenos;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;? Grandezas diretamente ou inversamente proporcionais;A22;Cap 4 - Intervalos reais ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A10;? Frações e decimais;A22;? Oposto de um número inteiro;;;A10;? mdc e mmc - Decomposição canônica;A22;;;;A10;? Regra de três simples - Exercícios;;? Intervalos reais limitados e ilimitados;;;A10;? Duplas desigualdades (II);A22;? Simplificação de frações racionais;;;;;;;;;;;;;;;;;;;;;;
6;A11;? Laboratório de médias (I);A23;? Ordem em Z;A30 ;? Plantas baixas de residências;A11;? mdc e mmc - Decomposição simultânea;A23;? Fatorando outras expressões do 2º grau;A30;? Exercícios;A11;? Regra de três simples - Exercícios;A23 ;? Operações com intervalos ;A30;? Quadriláteros em figuras 3-D;A11;? Duplas desigualdades (III);A23;? Raízes inteiras de polinômios com coeficientes inteiros;A30;? Exercícios: razões trigonométricas no triângulo retângulo, lei dos senos e lei dos cossenos;;;;;;;;;;;;;;;;;;;;
;A12;? Laboratório de médias (II);A24;? Módulo ou valor absoluto de um número inteiro;;;A12;? Algoritmo de Euclides;A24;? Exercícios;;;A12 ;? Problemas interdisciplinares de regra de três simples;A24;? Extensão das notações e outras notações ;;;A12;? Inequações onde aparecem expressões polinomiais de grau superior ao segundo;A24;? Exercícios gerais;;;;;;;;;;;;;;;;;;;;;;
MÓDULO 2;;;;;;;MÓDULO 2;;;;;;MÓDULO 2;;;;;;MÓDULO 2;;;;;;;;;;;;;;;;;;;;;;;;;
7;Cap 6 - Formas sentencias;;Cap 8 - Introdução aos números inteiros - Adição;;Cap 10 - Sólidos geométricos (I);;Cap 5 - Introdução aos números reais;;Cap 6 - Equação do 2º grau (I);;Cap 7 - Teorema de Pitágoras;;Cap 6 - Regra de três composta;;Cap 8 - Polinômios: Valor numérico, raízes e divisão;;Cap 9 - Mais um pouco sobre áreas;;Cap 5 - Sistemas de numeração;;Cap 6 - Problemas;;Cap 7 - Aplicações de Trigonometria na Geometria;;;;;;;;;;;;;;;;;;;;;
;A31;? Sentenças, equações, inequações e conjunto verdade;A39;? Adição e subtração e representação na reta;A47;? Cubos;A31;? Revisão: contagem;A39;? Revisão: dízimas periódicas;A47;? Revisão: semelhança de triângulos;A31 ;? Regra de 3 composta - Três variáveis;A39 ;? Valor numérico de um polinômio;A47;? Áreas em triângulos semelhantes;A31 ;? Contagem, algarismos e números;A39;? Problemas com unidades de medida;A47;? Relações entre as funções trigonométricas;;;;;;;;;;;;;;;;;;;;
;A32;? Exercícios e identidades num universo;A40;? Exercícios com adição e subtração;;;A32;? Localizando números na reta;A40;? Equação do 2º grau;;;A32;? Regra de 3 composta - Mais de três variáveis;A40;? Raízes ou zeros de um polinômio;;;A32 ;? O nosso sistema de numeração (I);A40;? Problemas envolvendo razões e proporções;;;;;;;;;;;;;;;;;;;;;;
8;A33;?  Sentenças abertas equivalentes em um universo;A41;? Descrevendo situações com adição de inteiros;A48;? Pirâmides;A33;? O número ?2;A41;? Equivalência i e ii;A48;? Teorema de Pitágoras;A33 ;Cap 7 - Problemas de cálculo com variáveis físicas;A41 ;? Divisão de um polinômio por um monômio;A48;? Áreas em figuras semelhantes;A33;? O nosso sistema de numeração (II);A41;? Problemas com variáveis diretamente e inversamente proporcionais;A48;? Cálculo da área de um triângulo com o auxílio da Trigonometria;;;;;;;;;;;;;;;;;;;;
;A34;? Utilizando sentenças equivalentes;A42;? Propriedades iniciais da adição de inteiros;;;A34;? Racionais e irracionais;A42;? Equivalência iii;;;;? Revisão: interpretando textos e gráficos;A42 ;? Divisão de polinômios – Método da chave;;;A34 ;? O nosso sistema de numeração (II);A42;? Números reais;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;A34 ;? Problemas envolvendo conversão de unidades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;A35;"Cap 7 - Trabalhando com frações decimais–
Porcentagem e médias";A43;Cap 9 - Multiplicando números naturais;A49;? O tronco de pirâmide;A35;? Operações com irracionais;A43;? Equivalências iv, v e vi;A49;? Relações métricas no triângulo retângulo;A35 ;? Problemas envolvendo conversão de unidades;A43 ;? Teorema do resto (I);A49;? Decompondo figuras e calculando áreas;A35 ;? Números escritos em bases não decimais;A43;? Propriedades de potências e raízes;A49;? Cálculo dos raios das circunferências inscrita e circunscrita de um triângulo;;;;;;;;;;;;;;;;;;;;
;;? Frações decimais;;? Multiplicação com dois ou mais fatores;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A36;? Porcentagem;A44;? Propriedades comutativa e distributiva da multiplicação;;;A36;? Raiz de índice par;A44;? Equivalências vii e viii;;;A36 ;? Problemas com dois móveis (I);A44 ;? Teorema do resto (II);;;A36;? Passando para bases não decimais;A44;;;;;;;;;;;;;;;;;;;;;;;
10;A37;? Médias;A45;? O algoritmo da multiplicação;A50;? Laboratório de construção de sólidos geométricos;A37;? Raiz de índice ímpar;A45;? Analisando b2 - 4ac;A50;"? Aplicações do Teorema
de Pitágoras a figuras 3-D";A37 ;? Problemas com dois móveis (II);A45;? Algoritmo de Briot-Ruffini (I);A50 ;? Construção de quadriláteros equivalentes;A37 ;? Operando em outras bases;A45;? Cálculos com raízes;A50;? Cálculo dos raios das circunferências inscrita e circunscrita de um triângulo;;;;;;;;;;;;;;;;;;;;
;A38;? Laboratório de médias;A46;? Laboratório de quebra-cabeças com números inteiros;;;A38;? Propriedades;A46;? Exercícios;;;A38 ;? Problemas com dois móveis (III);A46 ;? Algoritmo de Briot-Ruffini (II);;;A38;? Exercícios;A46;? Notação científica e problemas;;;;;;;;;;;;;;;;;;;;;;
MÓDULO 3;;;;;;;MÓDULO 3;;;;;;MÓDULO 3;;;;;;MÓDULO 3;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Cap11 - Introdução aos conjuntos – Diagramas 
de Venn, intersecção e união";;Cap 13 - Mais propriedades da adição de inteiros;;Cap 15 - Ângulos e retas;;Cap 8 - Um pouco mais sobre números reais;;Cap 10 - Equação do 2º grau (II);;Cap 11 - Introdução à circunferência;;"Cap 10 - Plano R², distância entre pontos e
equação da reta";;"Cap 11 - Inequações e sistemas de inequações
do 1º grau, sinal de ax + b (a ? 0)";;Cap 12 - Circunferência - Comprimentos, arcos e áreas;;Cap 8 - Problemas com inequações;;Cap 9 - Expressões com radicais;;"Cap 10 - Um pouco mais sobre
o Teorema de Pitágoras";;;;;;;;;;;;;;;;;;;;;
;A51;? Diagrama de Venn e intersecção de conjuntos;A59;? Elemento neutro e oposto;A67;? Ângulos planos e compasso;A51;? Revisão: inteiros, mdc e mmc;A59;? Revisão: fatoração;A67;? Ângulos e triângulos;A51;"? Distância entre pontos A e B quando 
        é paralelo a um dos eixos";A59 ;? Revisão: potenciação e radiciação;A67  ;? Comprimentos de circunferências e arcos;A51;? Números inteiros e inequações;A59 ;? Revisão: racionalização de denominadores;A67;? Demonstração do Teorema de Pitágoras;;;;;;;;;;;;;;;;;;;;
;A52;? União de conjuntos;A60;? Propriedades dos inteiros;;;A52;? Módulo de um número real;A60;? Discriminante;;;A52;? Distância entre dois pontos;A60;? Revisão: dízimas periódicas - Fração geratriz;;;A52;? Números inteiros e inequações;A60;? Revisão: racionalização de denominadores;;;;;;;;;;;;;;;;;;;;;;
12;A53;? Apresentação de conjuntos;A61;"? O sinal de ""menos""";A68;? Posições entre retas;A53;? Propriedades 1 e 2;A61;? Número de raízes;A68;? Figuras circulares e corpos redondos;A53 ;? Distância entre dois pontos quaisquer;A61 ;"? Inequações do tipo ax + b > 0, 
ax + b ? 0, ax + b < 0 e ax + b ? 0";A68 ;? Círculo e suas partes;A53;? Problemas relacionados com custos, lucros, produção, etc. (I);A61 ;? Racionalização de denominadores com soma ou diferença de raízes cúbicas;A68  ;? Exercícios;;;;;;;;;;;;;;;;;;;;
;A54;? Propriedades;A62;? Exercícios;;;A54;? Equações do tipo ax²k + c = 0;A62;? Resolvendo equações do 2º grau (I);;;A54;? Equação da mediatriz de um segmento;A62 ;? Inequações que se reduzem aos tipos ax + b > 0, ax + b ? 0, ax + b < 0 e ax + b ? 0;;;A54;? Problemas relacionados com custos, lucros, produção, etc. (II);A62 ;? Transformação de radical duplo em soma ou diferença de radicais simples;;;;;;;;;;;;;;;;;;;;;;
13;A55;Cap 12 - Introdução aos decimais e operações com decimais (I);A63;Cap 14 - Multiplicar e dividir;A69;? Ângulos entre retas;A55;? Equações do tipo ax²k+1 + d = 0;A63;? Resolvendo equações do 2º grau (II);A69;? Medidas angulares: ângulos inscrito e central;A55 ;? Equação da mediatriz de um segmento;A63;? Inequações que se reduzem aos tipos ax + b > 0, ax + b ? 0, ax + b < 0 e ax + b ? 0;A69 ;? Círculo e suas partes;A55;? Desigualdade triangular;A63;? Transformação de radical duplo em soma ou diferença de radicais simples;A69 ;? Descobrindo fórmulas;;;;;;;;;;;;;;;;;;;;
;;? Os números decimais;;? Potências e propriedades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A56;? Adição e subtração com decimais;A64;? Divisão;;;A56;Cap 9 - Introdução à contagem;A64;? Exercícios;;;A56 ;? Equação reduzida da reta;A64 ;? Sistemas de inequações;;;A56;? Desigualdade na geometria: ângulos e medidas;A64;? Racionalização de denominadores com radicais duplos;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;? Introdução à contagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;A57;? Multiplicação com decimais;A65;? Algoritmo da Divisão Euclidiana;A70;? Traçando paralelas e perpendiculares;A57;"? Princípio da adição (regra do ""ou"")";A65;? Resolvendo ax2 + bx = 0;A70;? Ângulos central e inscrito: exercícios;A57 ;? Equação reduzida da reta - Exercícios;A65 ;? Sinal de ax + b (a ? 0);A70 ;? Círculo e suas partes;A57;? Desigualdades com áreas;A65;? Equações biquadradas e radicais duplos;A70;? Recíproco do Teorema de Pitágoras;;;;;;;;;;;;;;;;;;;;
;A58;? Operações com potências de dez;A66;? Mais divisões;;;A58;? Mais sobre o princípio da adição;A66;? Resolvendo ax2 + c = 0;;;A58;;A66 ;? Outro método para resolver inequações dos tipos ax + b > 0, ax + b ? 0, ax + b < 0 e ax + b ? 0;;;A58;? Desigualdades com polígonos;A66;? Exercícios gerais;;;;;;;;;;;;;;;;;;;;;;
MÓDULO 4;;;;;;;MÓDULO 4;;;;;;MÓDULO 4;;;;;;MÓDULO 4;;;;;;;;;;;;;;;;;;;;;;;;;
15;Cap 16 - Conjuntos – Partes, complementar e contagem;;Cap 18 - Operações com números inteiros;;"Cap 20 - Construções de ângulos
e polígonos (I): classificação";;Cap 12 - Problemas com números;;Cap 13 - Probabilidade e estatística (I);;Cap 15 - Transformações geométricas;;Cap 13 - Gráficos de relações dadas por uma equação de duas variáveis;;Cap 15 - Inequações produto e quociente;;Cap 17 - Cordas e arcos na circunferência;;Cap 11 - Equações com módulo;;Cap 12 - Expressões algébricas;;Cap 13 - Tópicos de Geometria Espacial;;;;;;;;;;;;;;;;;;;;;
;A71;? Revisão: pertinência, inclusão e igualdade entre conjuntos;A79;? Revisão: introdução aos números inteiros - Oposto, ordem e módulo;A87;? Construção de ângulos;A71;? Revisão: raízes;A79;? Revisão: porcentagem;A87;? Translações, rotações e reflexões;A71 ;? Gráfico de relações dadas por uma equação de duas variáveis;A79;? Inequação produto;A87 ;? Caso particular do ângulo inscrito;A71 ;? Revisão: módulo;A 79;? Revisão: fatoração;A87;? Retas e planos;;;;;;;;;;;;;;;;;;;;
;A72;? Conjunto das partes de um conjunto;A80;? Multiplicação de inteiros;;;A72;? Inteiros consecutivos;A80;;;;A72 ;? Intersecções;A80;? Inequação quociente;;;A72 ;? Equações do tipo |x| = k ou equivalentes;A80;? Adição e subtração de monômios;;;;;;;;;;;;;;;;;;;;;;
16;A73;? Diferença, complemento e complementar de A em relação a B;A81;? Como usar os parênteses;A88 ;? Polígonos: introdução;A73;? Inteiros pares e ímpares;A81;? Interpretando dados: média;A88;? Exercícios de transformações geométricas;A73;? Relações cujos gráficos são retas;A81;? Exercícios;A88;? Circunferências e cordas;A73 ;? Substituindo variáveis;A81;? Multiplicação e divisão de monômios;A88 ;? Vistas ortogonais;;;;;;;;;;;;;;;;;;;;
;A74;? Exercícios de conjuntos com informações quantitativas;A82;? Escrevendo produtos como potências;;;A74;? Consecutivos pares;A82;? Interpretando dados: média ponderada;;;A74 ;? Gráficos de relações dadas por mais de uma sentença;A82;? Outro método de resolução;;;A74;? Equações do tipo |f(x)| = k;A82;? Cálculos envolvendo várias operações com monômios quaisquer;;;;;;;;;;;;;;;;;;;;;;
17;A75;Cap 17 - Operações com decimais (II);A83;Cap 19 - Operações com números racionais;A89;? Polígonos: perímetro e área;A75;? Consecutivos ímpares;A83;? Organizando dados: tabelas;A89;? Congruência de triângulos;A75;Cap 14 - Contagem;A83;Cap 16 - Sinal de ax² + bx + c, a, b, c ? R, a ? 0;A89;? Uma relação métrica na circunferência;A75;? Equações do tipo |f(x)| = g(x);A83;? Expressões algébricas cujos termos não são necessariamente monômios;A89;? Prismas;;;;;;;;;;;;;;;;;;;;
;;? Revisão: operações com números decimais e potências de 10;;? Adição com números racionais;;;A76;Cap 13 - Volume de blocos retangulares;;;;;;? Revisão: contagem;;? Sinal de ax² + bx + c (a ? 0) para ?>0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A76;? Divisão de decimais (I);A84;? Reduzindo frações a um mesmo denominador;;;;? Volume de figuras;A84;;;;A76;? Divisão em casos (I);A84;? Sinal de ax² + bx + c (a ? 0) para ?=0;;;A76;? Equações do tipo |f(x)| = g(x);A84;? Trabalhando com expressões envolvendo várias operações (I);;;;;;;;;;;;;;;;;;;;;;
18;A77;? Divisão de decimais (II);A85;? Mínimo múltiplo comum (mmc);A90;? Número de diagonais de um polígono convexo;A77;? Transformações de unidades (I);A85;? Organizando dados: gráfico de colunas;A90;? Congruência de triângulos;A77;? Divisão em casos (II);A85;? Sinal de ax² + bx + c (a ? 0) para ?<0;A90;? Ângulos e arcos determinados por cordas;A77;? Equações do tipo |f(x)| = |g(x)| e |f(x)| = - |g(x)|;A85;? Trabalhando com expressões envolvendo várias operações (II);A90;? Cilindros;;;;;;;;;;;;;;;;;;;;
;A78;? Exercícios;A86;? Comparando frações;;;A78;;A86;? Organizando dados: gráfico de setores;;;A78;? Tudo menos o que não interessa;A86;? Inequações do 2º grau (U = R);;;A78;? Equações do tipo |f(x)| + |g(x)| = k;A86;;;;;;;;;;;;;;;;;;;;;;;
MÓDULO 5;;;;;;;MÓDULO 5;;;;;;MÓDULO 5;;;;;;MÓDULO 5;;;;;;;;;;;;;;;;;;;;;;;;;
19;Cap 21 - Número de elementos da união de conjuntos;;Cap 24 - Operações com números racionais;;Cap 26 - Geometria - Congruência de figuras geométricas: triângulos;;Cap 15 - Divisores e números primos;;Cap 16 - Introdução aos polinômios;;Cap 17 - Área de algumas figuras (I);;"Cap 18 - Usando duas variáveis para
resolver alguns problemas";;Cap 19 - Algumas técnicas para resolver algumas equações;;Cap 20 - Retas secantes e tangentes à circunferência;;Cap 14 - Discussão de equações;;Cap 15 - Porcentagens e juros;;Cap 16 - Pontos notáveis de um triângulo (I);;;;;;;;;;;;;;;;;;;;;
;A91;? Revisão: introdução aos conjuntos, diagrama de Venn, intersecção e união;A99;? Adição e subtração;A107;? Laboratório de triângulos;A91;? Revisão: módulo;A99;? Revisão: equação do 2º grau;A107;? Revisão: Teorema de Pitágoras;A91;? Revisão: problemas com variáveis físicas;A99;? Revisão: notação científica;A107;? Revisão: mediatriz e bissetriz;A91;? Discussão de ax + b = 0, a, b ? R;A99;? Revisão – Porcentagens (I): definição e aplicações imediatas;A107;? Mediana, altura, bissetriz e mediatriz;;;;;;;;;;;;;;;;;;;;
;A92;? Número de elementos de um conjunto;A100;? Multiplicação e divisão;;;A92;? Número de divisores de um número inteiro;A100;? Monômios;;;A92;? Usando duas variáveis para resolver alguns problemas (I);A100;? Equações do tipo F1 • F2 = F1 • F3;;;A92;? Discussão de ax2 + bx + c = 0, a, b, c ? R;A100;;;;;;;;;;;;;;;;;;;;;;;
20;A93;Cap 22 - Expressões com letras;A101;? Problemas;A108;? Igualdade e congruência;A93;? Obtenção de todos os divisores;A101;? Binômios, trinômios e polinômios;A108;? Área de figuras;A93 ;? Usando duas variáveis para resolver alguns problemas (II);A101;? Equações onde aparece variável nos denominadores de algumas frações;A108;? Retas e segmentos tangentes a uma circunferência;A93;? Discussão de ax2 + bx + c = 0, a, b, c ? R;A101;? Revisão – Porcentagens (II): aumento e redução percentual;A108;? Mediana, altura, bissetriz e mediatriz;;;;;;;;;;;;;;;;;;;;
;;? Expressões com letras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;A94;Cap 23 - Introdução às equações;A102;Cap 25 - Propriedades dos números inteiros;;;A94;? Números pares e números ímpares;A102;? Igualdade e operações com polinômios;;;A94;? Usando duas variáveis para resolver alguns problemas (III);A102;? Equações do tipo         = ;;;A94;? Quantidade de raízes reais;A102;? Revisão  – Porcentagens (III): gráficos e tabelas;;;;;;;;;;;;;;;;;;;;;;
;;? Revisão: formas descritivas;;? Propriedades da multip. e da adição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;A95;? Resolvendo equações do tipo ax+b=0 (a ? 0);A103;? Produtos notáveis;A109;? Exercícios (I);A95;? Regras de divisibilidade;A103;? Grau de um polinômio;A109;? Transformação de unidades (II);A95 ;? Usando duas variáveis para resolver alguns problemas (IV);A103;? Equações do tipo F1 +       = F4 +;A109;? Retas secantes a uma circunferência;A95;? Quantidade de raízes reais;A103;? Juros compostos;A109;? Baricentro;;;;;;;;;;;;;;;;;;;;
;A96;? Resolvendo mais rapidamente;A104;? Ordem das operações;;;A96;? Exercícios;A104;? Resolvendo por soma e produto;;;A96;? Usando duas variáveis para resolver alguns problemas (V);A104;? Usando uma variável auxiliar;;;A96;? Sinal das raízes de uma equação do segundo grau (I);A104;;;;;;;;;;;;;;;;;;;;;;;
22;A97;? Equações equivalente às equações ax + b = 0 (I);A105;? Propriedades de potência (I);A110;? Exercícios (II);A97;? Reconhecimento de um número primo;A105;? Trabalhando com expressões envolvendo a soma e o produto;A110;? Fórmulas de áreas em sólidos geométricos;A97 ;? Exercícios;A105;? Exercícios gerais sobre equações;A110;? Teorema da tangente e da secante;A97;? Sinal das raízes de uma equação do segundo grau (II);A105;? Juros simples;A110;? Baricentro;;;;;;;;;;;;;;;;;;;;
;A98;? Equações equivalente às equações ax + b = 0 (II);A106;? Propriedades de potência (II);;;A98;? Laboratório: números primos;A106;? Equação do 2º grau em termos da soma e do produto;;;A98 ;;A106;;;;A98;? Sinal das raízes de uma equação do segundo grau (III);A106;;;;;;;;;;;;;;;;;;;;;;;
MÓDULO 6;;;;;;;MÓDULO 6;;;;;;MÓDULO 6;;;;;;MÓDULO 6;;;;;;;;;;;;;;;;;;;;;;;;;
23;Cap 27 - Introdução à contagem;;Cap 29 - Introdução à Probabilidade e à Estatística;;Cap 30 - Casos de congruência de triângulos;;Cap 18 - Problemas que contam histórias ou apresentam situações;;Cap 19 - O plano R²;;Cap 21 - Área de triângulos, composição e decomposição de figuras;;"Cap 21 - Equação linear com duas variáveis e
sistemas lineares com duas equações e duas variáveis";;Cap 22 - Inequação produto, inequação quociente e sistemas de inequações envolvendo expressões do tipo ax² + bx + c, a ? 0;;Cap 23 - Figuras inscritas e circunscritas a uma circunferência;;Cap 17 - Gráficos da função quadrática;;Cap 18 - Introdução à circunferência no R² e gráficos de relações;;Cap 19 - Produtos notáveis de um triângulo(II);;;;;;;;;;;;;;;;;;;;;
