SEMANA;PLANEJAMENTO HORIZONTAL - MATEMÁTICA;;;;;;;;;SEMANA;PLANEJAMENTO HORIZONTAL - MATEMÁTICA;;;;;;;;;SEMANA;PLANEJAMENTO HORIZONTAL - MATEMÁTICA;;;;;;;;;;;;
;1º EM -  Form. Ger. Bas.;;;;;;;;;;2º EM -  Form. Ger. Bas.;;;;;;;;;;3º EM -  Aprofundamento Acadêmico;;;;;;;;;;;;
;Parte A;;;Parte B;;Parte C;;Parte D;;;Parte A ;;;Parte B;;Parte C;;Parte D;;;Parte A ;;;Parte B;;Parte C;;Parte D;;;;;
;1 aula semanal;;;1 aula semanal;;1 aula semanal;;1 aula semanal;;;1 aula semanal;;;1 aula semanal;;1 aula semanal;;1 aula semanal;;;1 aula semanal;;;1 aula semanal;;1 aula semanal;;1 aula semanal;;;;;
1;Módulo 1;A1;? Números reais: números racionais;A7;? Expressões algébricas e fatoração: expressões algébricas;A12;? Introdução à linguagem matemática: sentenças, conectivos e negação;A17;? Geometria Plana – Introdução: retas, semirretas, segmentos, ângulos e paralelas cortadas por uma transversal;1;Módulo 1;A1;? Revisão: definições, relação fundamental e soma de arcos;A7;? Sequências: definição, termo geral e soma dos termos;A12;? Média aritmética simples;A18;? Posições entre retas, ângulos entre retas, posições entre retas e planos;1;Módulo 1;A1;? Números racionais e irracionais;A6;? Conjuntos;A11;? Divisibilidade e divisão euclidiana;A16;? Ângulos, retas e triângulos;;;;
2;;A2;? Números reais: números racionais;A8;? Expressões algébricas e fatoração: fatoração – Evidência e agrupamento;A13;? Introdução à linguagem matemática: sentenças universais e existenciais;A18;? Geometria Plana – Introdução: triângulos – Definição, classificação, ângulos internos, ângulos externos,  relação lado-ângulo, desigualdade triangular;2;;A2;? Arcos duplos e triplos e arcos-metade;A8;? Progressão aritmética: definição e termo geral;A13;? Média aritmética ponderada;A19;? Projeções, ângulos entre retas e planos, posições entre planos, ângulos entre planos;2;;A2;? Potências e raízes;A7;? Produtos notáveis, fator comum em evidência e agrupamento;A12;? Bases, primos, divisores, mdc e mmc;A17;? Ângulos, retas e triângulos;;;;
3;;A3;? Números reais: números irracionais e relações de ordem;A9 ;? Expressões algébricas e fatoração: fatorando usando produtos notáveis;A14;? Conjuntos: pertinência, inclusão, representação por sentenças abertas e diagrama de Venn;A19;? Geometria Plana – Introdução: semelhança de triângulos – Definição e casos;3;;A3;? Arcos duplos e triplos e arcos-metade;A9 ;? Progressão aritmética: representações especiais e soma dos n primeiros termos;A14;? Média geométrica e média harmônica;A20;? Teorema das três perpendiculares, distâncias, ângulos diédricos e poliédricos;3;;A3;? Racionalização de denominadores, expoente irracional e módulo de número real;A8;? Produtos notáveis e fatoração do trinômio do 2° grau;A13;? Fatorial e binomial ;A18;? Semelhança e congruência de triângulos;;;;
4;;A4;? Números reais: potências;A10;? Expressões algébricas e fatoração: fatorando usando produtos notáveis;A15;? Conjuntos: intersecção, união, diferença e complementar;A20;? Geometria Plana – Introdução: semelhança de triângulos – Definição e casos;4;;A4;? Fórmulas auxiliares de Werner e de prostaférese;A10;? Progressão geométrica: definição, termo geral e representações especiais;A15;? Módulo de um número real;A21;? Prismas: definição, cálculo de áreas e volumes, paralelepípedo;4;;A4;? Funções;A9;? Equações do tipo ax + b = 0, produto e quociente;A14;? Porcentagem;A19;? Semelhança e congruência de triângulos;;;;
5;;A5;? Números reais: raízes;A11;? Expressões algébricas e fatoração: fatorando um polinômio do segundo grau – Exercícios gerais;A16;? Conjuntos: conjunto potência e intervalos reais;A21;? Geometria Plana – Introdução: congruência – Apresentação como caso particular de semelhança – Casos de congruência;5;;A5;"? Equações trigonométricas em U = [0; 2?[";A11;? Progressão geométrica: produto dos termos, soma dos n primeiros termos e soma infinita da PG convergente;A16;? Equações envolvendo módulo;A22;? Cubos e Princípio de Cavalieri;5;;A5;? Funções afins;A10;? Equações do tipo ax² + bx + c = 0 e substituição de variável;A15;? Acréscimos e reduções percentuais;A20;? Teorema de Tales e relações métricas no triângulo retângulo;;;;
6;Módulo 2;A6;? Números reais: expoentes irracionais e racionalização de denominadores;A26;? Introdução às equações: definição de equação, conjunto verdade, conjunto universo, equações polinomiais do primeiro grau e equação produto;A31;? Números inteiros: apresentação de Z e divisão euclidiana;A37;? Geometria Plana – Teorema de Tales e trigonometria: Teorema de Tales;6;Módulo 2;A6;"? Equações trigonométricas em U = [0; 2?[";A27;? Análise Combinatória: combinações simples;A17;? Inequações envolvendo módulo;A36;? Pirâmides;6;Módulo 2;A21;? Funções (2ª parte);A26;? Variáveis proporcionais;A31;? Juros;A36;? Geometria Plana (2ª parte);;;;
7;;A22;? Produto cartesiano, relações e funções: produto cartesiano;A27;? Introdução às equações: equações polinomiais do segundo grau;A32;? Números inteiros: classificação dos números segundo o resto de sua divisão por outro inteiro e critérios de divisibilidade;A38;? Geometria Plana – Teorema de Tales e trigonometria: relações métricas no triângulo retângulo;7;;A23;"? Inequações trigonométricas em U = [0; 2?[";A28;? Análise Combinatória: problemas envolvendo combinações;A32;? Tipos de equações da reta;A37;? Pirâmides ;7;;A22;? Funções (2ª parte);A27;? Problemas de 1° e 2° graus;A32;? Sequências e progressões;A37;? Geometria Plana (2ª parte);;;;
8;;A23;? Produto cartesiano, relações e funções: relações;A28;? Introdução às equações: soma e produto das raízes de uma equação polinomial do segundo grau;A33;? Números inteiros: sistema de numeração decimal;A39;? Geometria Plana – Teorema de Tales e trigonometria: razões trigonométricas no triângulo retângulo;8;;A24;? Cotangente, secante e cossecante;A29;? Análise Combinatória: combinações em Geometria e combinações completas;A33;? Equação reduzida da reta e y - y0 = a(x - x0) ;A38;? Poliedros;8;;A23;? Funções (2ª parte);A27;? Inequações;A32;? Sequências e progressões;A37;? Geometria Plana (2ª parte);;;;
